AB,CD,OverallRelationAB,SpecificRelationAB,OverallRelationCD,SpecificRelationCD,Match,TrialTag,Qarrange
raise:elevate,pretty:beautiful,1,1,1,1,1,raise:elevate::pretty:beautiful,1
kid:child,couch:sofa,1,1,1,1,1,kid:child::couch:sofa,1
careful:cautious,explosion:damage,1,1,3,7,0,careful:cautious::explosion:damage,1
car:auto,rise:sink,1,1,2,5,0,car:auto::rise:sink,1
picture:drawing,pillow:cushion,1,2,1,2,1,picture:drawing::pillow:cushion,1
rake:fork,house:tent,1,2,1,2,1,rake:fork::house:tent,1
stairs:ladder,big:small,1,2,2,4,0,stairs:ladder::big:small,1
shovel:spoon,tiredness:rest,1,2,3,8,0,shovel:spoon::tiredness:rest,1
lower:volume,discount:price,1,3,1,3,1,lower:volume::discount:price,1
soften:voice,darken:color,1,3,1,3,1,soften:voice::darken:color,1
acceleration:speed,enthusiastic:lazy,1,3,2,6,0,acceleration:speed::enthusiastic:lazy,1
heat:temperature,ignite:burn,1,3,3,9,0,heat:temperature::ignite:burn,1
tall:short,black:white,2,4,2,4,1,tall:short::black:white,1
hot:cold,old:young,2,4,2,4,1,hot:cold::old:young,1
dirty:clean,thirsty:drink,2,4,3,8,0,dirty:clean::thirsty:drink,1
difficult:easy,inflation:price,2,4,1,3,0,difficult:easy::inflation:price,1
front:back,interior:exterior,2,5,2,5,1,front:back::interior:exterior,1
north:south,ahead:behind,2,5,2,5,1,north:south::ahead:behind,1
climb:descend,work:earn,2,5,3,9,0,climb:descend::work:earn,2
below:above,raise:salary,2,5,1,3,0,below:above::raise:salary,2
majority:small,just:unfair,2,6,2,6,1,majority:small::just:unfair,2
good:wrong,loud:discreet,2,6,2,6,1,good:wrong::loud:discreet,2
funny:serious,fright:scream,2,6,3,8,0,funny:serious::fright:scream,2
high:down,option:choice,2,6,1,1,0,high:down::option:choice,2
fire:burns,heater:warmth,3,7,3,7,1,fire:burns::heater:warmth,2
exercise:fitness,repetition:boredom,3,7,3,7,1,exercise:fitness::repetition:boredom,2
injury:pain,death:population,3,7,1,3,0,injury:pain::death:population,2
accident:damage,make:manufacture,3,7,1,1,0,accident:damage::make:manufacture,2
loneliness:socialize,nervousness:sweat,3,8,3,8,1,loneliness:socialize::nervousness:sweat,2
heat:sweat,sickness:medicate,3,8,3,8,1,heat:sweat::sickness:medicate,2
danger:flee,in:out,3,8,2,5,0,danger:flee::in:out,2
anger:yell,smiling:sad,3,8,2,6,0,anger:yell::smiling:sad,2
burnish:shine,trim:shorten,3,9,3,9,1,burnish:shine::trim:shorten,2
advertise:promote,wash:clean,3,9,3,9,1,advertise:promote::wash:clean,2
cook:eat,day:evening,3,9,2,6,0,cook:eat::day:evening,2
breathe:live,forward:backward,3,9,2,5,0,breathe:live::forward:backward,2
