AB,CD,OverallRelationAB,SpecificRelationAB,OverallRelationCD,SpecificRelationCD,Match,TrialTag,Qarrange
couch:sofa,kid:child,1,1,1,1,1,couch:sofa::kid:child,1
option:choice,careful:cautious,1,1,1,1,1,option:choice::careful:cautious,1
make:manufacture,obey:protest,1,1,2,6,0,make:manufacture::obey:protest,1
spin:twirl,bright:dull,1,1,2,6,0,spin:twirl::bright:dull,1
wagon:trailer,picture:drawing,1,2,1,2,1,wagon:trailer::picture:drawing,1
house:tent,book:magazine,1,2,1,2,1,house:tent::book:magazine,1
pillow:cushion,pretty:ugly,1,2,2,4,0,pillow:cushion::pretty:ugly,1
ladder:stairs,bathe:clean,1,2,3,9,0,ladder:stairs::bathe:clean,1
raise:salary,shorten:distance,1,3,1,3,1,raise:salary::shorten:distance,1
force:pressure,acceleration:speed,1,3,1,3,1,force:pressure::acceleration:speed,1
death:population,start:finish,1,3,2,5,0,death:population::start:finish,1
inflation:price,hunger:eat,1,3,3,8,0,inflation:price::hunger:eat,1
big:small,difficult:easy,2,4,2,4,1,big:small::difficult:easy,1
old:young,rich:poor,2,4,2,4,1,old:young::rich:poor,1
fat:thin,dirty:bathe,2,4,3,8,0,fat:thin::dirty:bathe,1
fast:slow,heat:sweat,2,4,3,8,0,fast:slow::heat:sweat,1
interior:exterior,below:above,2,5,2,5,1,interior:exterior::below:above,1
forward:backward,north:south,2,5,2,5,1,forward:backward::north:south,1
ahead:behind,bath:cleanliness,2,5,3,7,0,ahead:behind::bath:cleanliness,2
top:bottom,pants:trousers,2,5,1,1,0,top:bottom::pants:trousers,2
loud:discreet,majority:small,2,6,2,6,1,loud:discreet::majority:small,2
smiling:sad,high:down,2,6,2,6,1,smiling:sad::high:down,2
just:unfair,injury:pain,2,6,3,7,0,just:unfair::injury:pain,2
right:bad,advertise:promote,2,6,3,9,0,right:bad::advertise:promote,2
germs:sickness,illness:discomfort,3,7,3,7,1,germs:sickness::illness:discomfort,2
tragedy:tears,exercise:fitness,3,7,3,7,1,tragedy:tears::exercise:fitness,2
explosion:damage,fun:boring,3,7,2,6,0,explosion:damage::fun:boring,2
repetition:boredom,good:wrong,3,7,2,6,0,repetition:boredom::good:wrong,2
fright:scream,loneliness:socialize,3,8,3,8,1,fright:scream::loneliness:socialize,2
thirst:drink,happiness:smile,3,8,3,8,1,thirst:drink::happiness:smile,2
sickness:medicate,raise:elevate,3,8,1,1,0,sickness:medicate::raise:elevate,2
sadness:cry,table:desk,3,8,1,2,0,sadness:cry::table:desk,2
exercise:healthy,breathe:live,3,9,3,9,1,exercise:healthy::breathe:live,2
flee:escape,read:learn,3,9,3,9,1,flee:escape::read:learn,2
sleep:rest,bright:dark,3,9,2,4,0,sleep:rest::bright:dark,2
ignite:burn,speed:movement,3,9,1,3,0,ignite:burn::speed:movement,2
