AB,CD,OverallRelationAB,SpecificRelationAB,OverallRelationCD,SpecificRelationCD,Match,TrialTag,Qarrange
rapid:quick,buy:purchase,1,1,1,1,1,rapid:quick::buy:purchase,1
painting:movie,valley:gutter,1,2,1,2,1,painting:movie::valley:gutter,1
brighten:color,crescendo:sound,1,3,1,3,1,brighten:color::crescendo:sound,1
smooth:rough,happy:sad,2,4,2,4,1,smooth:rough::happy:sad,1
before:after,inside:outside,2,5,2,5,1,before:after::inside:outside,1
believe:deny,popular:shy,2,6,2,6,1,believe:deny::popular:shy,2
enigma:puzzlement,practice:improvement,3,7,3,7,1,enigma:puzzlement::practice:improvement,2
fatigue:sleep,lateness:hurry,3,8,3,8,1,fatigue:sleep::lateness:hurry,2
fertilize:grow,eat:satiation,3,9,3,9,1,fertilize:grow::eat:satiation,2
buy:purchase,smooth:rough,1,1,2,4,0,buy:purchase::smooth:rough,1
valley:gutter,fatigue:sleep,1,2,3,8,0,valley:gutter::fatigue:sleep,1
crescendo:sound,enigma:puzzlement,1,3,3,7,0,crescendo:sound::enigma:puzzlement,1
happy:sad,painting:movie,2,4,1,2,0,happy:sad::painting:movie,1
inside:outside,rapid:quick,2,5,1,1,0,inside:outside::rapid:quick,1
popular:shy,fertilize:grow,2,6,3,9,0,popular:shy::fertilize:grow,2
practice:improvement,believe:deny,3,7,2,6,0,practice:improvement::believe:deny,2
lateness:hurry,before:after,3,8,2,5,0,lateness:hurry::before:after,2
eat:satiation,brighten:color,3,9,1,3,0,eat:satiation::brighten:color,2
