Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0463	2.0028	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
6.3213	2.0096	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
9.0297	1.3024	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['l']	l	1	0	0	1
11.3593	2.0053	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0
14.1623	2.0024	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0
17.7242	0.5827	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['a']	a	1	0	0	1
19.3528	2.0023	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
22.1056	1.9882	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
24.8464	1.3771	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['l']	a	1	0	0	1
27.2516	2.0149	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
30.4730	2.0090	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
33.9009	2.1216	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['l']	l	2	0	0	1
37.0482	2.0129	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
39.6865	1.9997	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
42.9387	2.7183	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['l']	l	1	0	0	1
46.6880	2.0156	drink:hydrate::house:home	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0
50.0487	2.0077	drink:hydrate::house:home	None	house:home	0	None	1	None	1	0	0	0	0	1	0
53.2157	2.0429	drink:hydrate::house:home	drink:hydrate	house:home	0	3	1	9	1	['l']	a	2	0	0	1
56.2769	2.0150	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
59.7631	2.0135	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
62.3418	2.7014	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['a']	l	1	0	0	1
66.0741	2.0004	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
69.1537	2.0154	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
71.8000	0.9555	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['l']	l	1	0	0	1
73.7806	2.0096	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0
76.6199	2.0142	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0
79.4030	3.0040	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	None	a	2	0	0	1
83.4449	2.0083	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0
86.4240	2.0143	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0
89.2843	0.5762	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['a']	a	1	0	0	1
90.8870	2.0003	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
93.9833	2.0148	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
96.8449	1.2031	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['a']	a	2	0	0	1
99.0769	2.0156	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
102.2032	2.0148	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
105.0337	0.6124	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['a']	a	2	0	0	1
106.6714	2.0001	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
110.8433	2.0105	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
113.9501	0.6571	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['l']	l	1	0	0	1
115.6377	2.0139	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
118.2784	2.0143	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
122.1719	0.7257	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['l']	l	2	0	0	1
123.9132	2.0031	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
126.9161	2.0007	powerful:meek::rake:fork	None	rake:fork	0	None	1	None	2	0	0	0	0	1	0
129.4972	1.0234	powerful:meek::rake:fork	powerful:meek	rake:fork	0	2	1	6	2	['l']	l	1	0	0	1
131.5362	2.0067	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
135.7445	2.0146	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
138.6677	0.7554	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['l']	l	1	0	0	1
140.4472	2.0158	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
143.0200	1.9949	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
146.0486	0.6066	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['a']	a	1	0	0	1
147.6730	2.0145	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0
150.2675	1.9962	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0
